S.No.,COMPANY NAME,DATE OF REGISTRATION,STATE,ROC,COMPANY STATUS,CATEGORY,CLASS,COMPANY TYPE, AUTHORIZED CAPITAL , PAIDUP CAPITAL ,ACTIVITY CODE,ACTIVITY DESCRIPTION,REGISTERED OFFICE ADDRESS,EMAIL
135,ENFINITY GLOBAL HARITHA RENEWABLES PRIVATE LIMITED,27-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",35,Electric power generation using solar energy,"8-2-610/68/1,2,3, 5 Floor,Accrord Blu, Rd No. 10,Khairatabad, Hyderabad, Telangana, India - 500034",csegindia@outlook.com
136,ENFINITY GLOBAL RENEWABLE ENERGY PRIVATE LIMITED,27-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",35,Electric power generation using solar energy,"8-2-610/68/1, 5th Floor,Accord Blu, Rd No. 10,,Khairatabad, Hyderabad, Telangana, India - 500034",csegindia@outlook.com
137,NORTHLADDER TECHNOLOGIES INDIA PRIVATE LIMITED,27-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"716, Spot 18 Rahatani,,Pune City, Pune, Maharashtra, India - 411017",sandeep@northladder.com
138,SANGINENI ENGINEERING AND TECHNICAL SERVICES PRIVATE LIMITED,27-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",74,Other specialized design activities n.e.c.,"First Floor, Plot No- 13, Viswanbhara Enclave,Hydernagar,Tirumalagiri, Hyderabad, Telangana, India - 500072",seats@othon.com
139,VISTAJET LEASING IFSC PRIVATE LIMITED,28-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 2,00,00,000 "," ? 2,00,00,000 ",66,Activities auxiliary to financial service activities n.e.c.,"PragyaAcelerator GF RD 1C,Blk 15 Pragya TWR SEZ PA,Gandhinagar, Gandhi Nagar, Gujarat, India - 382355",
140,ALTOLIVING ENTERPRISE SOFTWARE INDIA PRIVATE LIMITED,28-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 60,00,000 "," ? 60,00,000 ",62,Other information technology and computer service activities n.e.c,"#1245, 27th Main,Sector 2 Somasundarapalya,Bangalore South, Bangalore, Karnataka, India - 560102",karolina@altovita.com
141,CHAO LONG INDIA PRIVATE LIMITED,28-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",45,Sale of motor vehicle parts and accessories,"Plot no 6, 8th Avenue, 1st cross road,Mahindra World city,Kanchipuram, Kanchipuram, Tamil Nadu, India - 603004",ksara23@gmail.com
142,NETFLORIST INDIA PRIVATE LIMITED,28-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"A-807, Gera Emerald City North,Kharadi,Pune City, Pune, Maharashtra, India - 411014",Pankajjogster@gmail.com
143,Z3CYBER INDIA PRIVATE LIMITED,28-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"PLOT NO.05,, SOFTWARE UNITS  LAYOUT,Shaikpet, Hyderabad, Telangana, India - 500081",JAY@CYTRIO.COM
144,21SENSES TECHNOLOGIES INDIA PRIVATE LIMITED,28-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"B/8, Anjali CHS,Panchpakadi, Madanlal Dhingra Marg,Thane, Thane, Maharashtra, India - 400602",rohan@21-senses.com
145,PUIG INDIA PRIVATE LIMITED,28-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,00,000 "," ? 1,00,00,000 ",46,"Wholesale of toiletry, perfumery and cosmetics","3K Jangpura Extension,Commercial Circle,New Delhi, South Delhi, Delhi, India - 110014",csravisah@gmail.com
146,BAYA FINSERV TECHNOLOGIES PRIVATE LIMITED,28-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 4,00,00,000 "," ? 4,00,00,000 ",62,Software installation,"Plot No 296, Sumati Smruti CHS, Swatantryaveer Savarkar Marg,Old Cadell Road,Opp. Catering College, Dadar West,Mumbai, Mumbai, Maharashtra, India - 400028",chatty@baya.biz
147,DATAART TECHNOLOGIES INDIA PRIVATE LIMITED,29-04-2023,Karnataka,ROC Bangalore,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,65,04,100 "," ? 1,65,04,100 ",62,Other information technology and computer service activities n.e.c,"Prestige Sterling Square,2nd Floor, Madras Bank Road, Off Lavelle Road,,Bangalore North, Bangalore, Karnataka, India - 560001",Sheetal.Kale@dataart.com
148,TDK VENTURES INDIA ADVISOR PRIVATE LIMITED,29-04-2023,Karnataka,ROC Bangalore,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 20,00,00,000 "," ? 18,00,00,000 ",66,Activities auxiliary to financial service activities n.e.c.,"The Icon, 80 Feet Rd,,HAL 3rd Stage, Indiranagar,Bangalore North, Bangalore, Karnataka, India - 560075",siddharth.mehta@tdk-ventures.com
149,MULTIVAC LARAON PRODUCTION INDIA PRIVATE LIMITED,29-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",46,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines","Plot No: 137,Sector 5, IMT,Nsg Camp Manesar, Gurgaon, Haryana, India - 122051",ritesh.dhingra@laraon.com
150,QPRODUCTS AND SERVICES INDIA PRIVATE LIMITED,29-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,70,00,000 "," ? 80,00,000 ",46,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines","34,Venkatnarayana Road,,Chennai City Corporation, Chennai, Tamil Nadu, India - 600035",psagar@qproductsglobal.com
151,BIOLITEC MEDITECH INDIA PRIVATE LIMITED,29-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",26,"Manufacture   of   irradiation,   electromedical   and   electrotherapeutic  equipment","143,Hitech Aerospace Park,Jala Hobli,Banglorenorth, Bangalore, Karnataka, India - 562149",preeti.lodha@biolitec.com
152,TNEI SERVICES INDIA PRIVATE LIMITED,29-04-2023,Kerala,ROC Ernakulam,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 14,00,000 ",62,Providing software support and maintenance to the clients,"Kolezhimethal House,Mavoor PO,,Kozhikode, Kozhikode, Kerala, India - 673661",gorby.george@tneigroup.com
153,KLOUDSPOT INDIA PRIVATE LIMITED,29-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Other information technology and computer service activities n.e.c,"FC052, Founders Cube, 102/1, 1st Floor, Outer Ring Road,, Kamadhenu Nagar, B Narayanapura, Mahadevapura,Bangalore North, Bangalore, Karnataka, India - 560016",india@kloudspot.com
154,CRESIDO ANALYTICS INDIA PRIVATE LIMITED,29-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"12-2-823/A/61, Santosh,Nagar Colony,Mehidipatnam,Asifnagar, Hyderabad, Telangana, India - 500028",siddu.tummala@cresido.com
155,JK SEL INDIA PRIVATE LIMITED,29-04-2023,Haryana,ROC Delhi,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 14,00,000 "," ? 14,00,000 ",62,Providing software support and maintenance to the clients,"A 53/1, A Block,DLF Phase 1, Gurgaon,Sadar Bazar, Gurgaon, Haryana, India - 122001",consultancy@hanaadvisors.com
156,CROSSOVER TANK CONTAINERS (I) PRIVATE LIMITED,29-04-2023,Maharashtra,ROC Mumbai,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",52,Activities of shipping cargo agents,"F-27 SHAGUN MALL GEN AK,VAIDYA MARG GOREGAON EAST,Malad East, Mumbai, Maharashtra, India - 400097",caamitnagar@gmail.com
157,BIOGEN CAPABILITY CENTER INDIA PRIVATE LIMITED,30-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Providing software support and maintenance to the clients,"Level7 Mfar Greenheart,Manyatatechpark Hebbal,Bangalore North, Bangalore, Karnataka, India - 560045",kumar.venugopal@biogen.com
158,C LABS R&D PRIVATE LIMITED,30-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Embassy Tech Village,L Block Devarabisanahalli,Bangalore South, Bangalore, Karnataka, India - 560103",manish.gupta@cyberwarfare.live
159,YONDOR DIAMONDS PRIVATE LIMITED,30-04-2023,Maharashtra,ROC Mumbai,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",32,Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones,"123,Floor-12th FLR, Riddh,Khetwadi,10th Lane, Girga,Mumbai, Mumbai, Maharashtra, India - 400004",priyank.yondor@gmail.com
160,GREEN ENERGY INFRA PROJECT MANAGERS PRIVATE LIMITED,30-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",70,Management consultancy activities,"Mahindra Tower,Pandurang Budhkar Marg,Mumbai, Mumbai, Maharashtra, India - 400018",deb_hajara@otpp.com
